Unnamed: 0,learner_id,course_id,learner_rating,learner_timestamp
6,4601412,1337482.0,5.0,2017-09-26T19:44:41Z
7,4601412,13391.0,5.0,2017-02-15T14:55:17Z
8,4601412,544860.0,5.0,2017-05-02T21:01:33Z
9,4601412,509618.0,5.0,2016-04-20T16:23:37Z
10,4601412,1216708.0,5.0,2017-05-24T21:15:52Z
11,4601412,16170.0,5.0,2017-04-12T15:11:45Z
12,4601412,666550.0,5.0,2016-10-10T18:40:00Z
13,4601412,792598.0,4.5,2016-03-31T17:02:23Z
14,4601412,986604.0,5.0,2017-02-01T19:52:45Z
15,4601412,872326.0,5.0,2017-05-25T21:30:45Z
16,4601412,363164.0,5.0,2016-02-24T18:39:12Z
17,4601412,171018.0,5.0,2016-05-05T19:14:47Z
18,4601412,719322.0,5.0,2016-03-04T21:39:12Z
19,4601412,511776.0,5.0,2016-04-22T20:27:25Z
20,4601412,1066566.0,5.0,2017-01-25T17:53:43Z
21,4601412,419334.0,4.5,2016-03-03T21:58:13Z
22,4601412,26090.0,5.0,2016-03-11T17:43:22Z
23,4601412,20743.0,5.0,2017-02-16T19:00:19Z
24,4601412,1094748.0,5.0,2017-02-15T17:58:56Z
25,4601412,705328.0,5.0,2016-06-08T21:02:08Z
26,4601412,945700.0,5.0,2016-10-12T16:13:04Z
27,4601412,1084520.0,5.0,2017-02-17T16:20:02Z
28,4601412,1066422.0,5.0,2017-02-23T22:31:28Z
29,4601412,621172.0,5.0,2016-05-05T17:31:11Z
30,4601412,1204360.0,5.0,2017-05-22T17:10:12Z
31,4601412,1071124.0,5.0,2017-01-30T17:58:48Z
32,4601412,995736.0,5.0,2017-05-15T21:19:37Z
33,4601412,727840.0,5.0,2016-03-28T17:04:14Z
34,4601412,1254588.0,5.0,2017-07-28T19:54:48Z
35,4601412,1025564.0,5.0,2017-09-11T17:40:34Z
36,4601412,170840.0,5.0,2017-03-29T14:25:19Z
37,4601412,13019.0,5.0,2016-03-17T16:19:19Z
38,4601412,698362.0,5.0,2016-05-18T14:41:56Z
39,4601412,37061.0,3.5,2016-02-19T19:28:15Z
40,4601412,642662.0,5.0,2016-05-02T20:30:28Z
41,4601412,988162.0,5.0,2017-01-04T19:53:01Z
42,4601412,1278112.0,5.0,2017-08-01T21:12:43Z
43,4601412,787082.0,5.0,2017-02-17T19:59:32Z
44,4601412,648120.0,5.0,2016-04-08T14:33:13Z
